Siniestro,DENUNCIA,Pieza,Tarea,Horas,pieza_normalizada
21113/2020,M325297,rejilla centde parag,Sustituir,0.10,Otro
21113/2020,M325297,careta,Sustituir,0.50,Otro
21113/2020,M325297,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21113/2020,M325297,encausador aire de rad der,Sustituir,0.20,Otro
21113/2020,M325297,alma de paragolpe delantera,Sustituir,0.50,Otro
21113/2020,M325297,guia de paragolpes del x2,Sustituir,0.20,Otro
21113/2020,M325297,aplique der de parag de caminero,Reparar,1.00,Otro
21113/2020,M325297,"aplique izq, de parag de caminero",Reparar,0.50,Otro
21113/2020,M325297,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
21113/2020,M325297,faroles delantero der,SYC,0.50,Farol Delantero Derecho
21113/2020,M325297,capot,Reparar,3.00,Capot
21118/2020,M326213,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21118/2020,M326213,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
21118/2020,M326213,guia de paragolpes del der,Sustituir,0.00,Otro
21118/2020,M326213,rejilla centde parag,Sustituir,0.00,Otro
21118/2020,M326213,careta,Sustituir,0.00,Otro
21118/2020,M326213,capot,Reparar,7.00,Capot
21118/2020,M326213,bisagras capot x2,Reparar,1.50,Otro
21118/2020,M326213,guardabarro delantero der,Reparar,3.00,Guardabarro Delantero Derecho
21118/2020,M326213,puerta delantera des parcial parcial der,Reparar,0.00,Puerta Delantera Derecha
21118/2020,M326213,frente superior atornillado caloja,Reparar,3.00,Otro
21118/2020,M326213,bucheglass del der,Reparar,1.00,Otro
21118/2020,M326213,bandeja infparagolpes,Reparar,1.00,Otro
21118/2020,M326213,alma de paragolpe delantera,Reparar,3.00,Otro
21118/2020,M326213,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
21125/2020,M326512,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
21125/2020,M326512,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21125/2020,M326512,rejilla centde parag,Sustituir,0.10,Otro
21125/2020,M326512,spoiler delantero central ppintar,Sustituir,0.50,Otro
21125/2020,M326512,guia de paragolpes del izq,Sustituir,0.20,Otro
21125/2020,M326512,bucheglass del izq,Sustituir,0.30,Otro
21125/2020,M326512,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
21125/2020,M326512,spoiler delantero inf,Sustituir,0.50,Otro
21125/2020,M326512,alineacion del,Sustituir,0.00,Otro
21125/2020,M326512,chapa sup chap sup faro izq,Sustituir,0.00,Otro
21125/2020,M326512,soporte sop guard del izq,Sustituir,0.00,Otro
21125/2020,M326512,puerta delantera des parcial parcial izq,Reparar,0.00,Puerta Delantera Izquierda
21125/2020,M326512,alma de paragolpe delantera,Reparar,1.50,Otro
21125/2020,M326512,faroles delantero der,SYC,0.50,Farol Delantero Derecho
21191/2020,M326209,anulado,Sustituir,0.00,Otro
21227/2020,M325119,guardabarro trasero soldado,Reparar,5.00,Otro
21227/2020,M325119,puerta tras desarme compl izq,Reparar,7.00,Puerta Trasera Izquierda
21227/2020,M325119,zocalo izq,Reparar,3.00,Zocalo Izquierdo
21227/2020,M325119,paragolpe trasero,SYC,1.00,Paragolpe Trasero
21227/2020,M325119,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21227/2020,M325119,pasarrueda trasero izq,Reparar,2.00,Otro
21253/2020,M326814,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21253/2020,M326814,caminero der,Sustituir,0.00,Otro
21253/2020,M326814,rejilla centde parag,Sustituir,0.10,Otro
21253/2020,M326814,alma de paragolpe delantera,Sustituir,0.50,Otro
21253/2020,M326814,lamparas h11,Sustituir,0.00,Otro
21253/2020,M326814,capot,Reparar,4.00,Capot
21253/2020,M326814,guardabarro delantero izq,Reparar,1.00,Guardabarro Delantero Izquierdo
21253/2020,M326814,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
21253/2020,M326814,faroles delantero der,SYC,0.50,Farol Delantero Derecho
21253/2020,M326814,bucheglass izq,SYC,0.30,Otro
21253/2020,M326814,frente soldado completo,Reparar,1.00,Otro
21253/2020,M326814,espejo retrovisor ext izq,Sustituir,0.40,Otro
21273/2020,M326257,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
21273/2020,M326257,guia de paragolpes tras x2,Sustituir,0.20,Otro
21273/2020,M326257,tapa de baul,Reparar,3.00,Tapa de Baul
21273/2020,M326257,panel trasero cola,Reparar,4.00,Panel Trasero
21273/2020,M326257,aloj faro tras(izqder) izq,Reparar,1.00,Otro
21273/2020,M326257,aloj faro tras(izqder) der,Reparar,1.00,Otro
21273/2020,M326257,guardabarro delantero izq,Reparar,2.00,Guardabarro Delantero Izquierdo
21273/2020,M326257,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
21273/2020,M326257,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21273/2020,M326257,farol trasero der,SYC,0.25,Farol Trasero Derecho
21273/2020,M326257,tapizado baul compl,SYC,0.60,Otro
21349/2020,M324701,paragolpe trasero,Reparar,3.00,Paragolpe Trasero
21349/2020,M324701,guardabarro trasero soldado izq,Reparar,6.00,Guardabarro Trasero Izquierdo
21349/2020,M324701,tapa ext deposito comb,Reparar,1.00,Otro
21349/2020,M324701,caY=o de llenado de comb,SYC,0.50,Otro
21349/2020,M324701,tapizado baul izq,SYC,0.20,Otro
21349/2020,M324701,guia de paragolpes tras izq,SYC,0.20,Otro
21349/2020,M324701,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21349/2020,M324701,"barrero tras, izq",SYC,0.20,Otro
21349/2020,M324701,sensores,SYC,1.00,Otro
21349/2020,M324701,farol trasero x2 parag,SYC,0.25,Otro
21377/2020,M324199,kit pegado,Sustituir,0.00,Otro
21377/2020,M324199,tapa baul hatch,Sustituir,2.50,Tapa de Baul
21377/2020,M324199,luneta tras criesgo rotura,SYC,1.00,Otro
21377/2020,M324199,insignia emblema logo,Sustituir,0.10,Otro
21377/2020,M324199,insignia emblema suzuki,Sustituir,0.10,Otro
21377/2020,M324199,insignia emblema baleno,Sustituir,0.10,Otro
21377/2020,M324199,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
21377/2020,M324199,guia de paragolpes tras x2,Sustituir,0.20,Otro
21377/2020,M324199,faro de matr (deltras) tras,Sustituir,0.20,Otro
21377/2020,M324199,broches kit de parag,Sustituir,0.00,Otro
21377/2020,M324199,panel trasero cola,Reparar,4.00,Panel Trasero
21377/2020,M324199,piso de baul,Reparar,3.00,Otro
21377/2020,M324199,tapizado baul compl,SYC,0.60,Otro
21377/2020,M324199,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21377/2020,M324199,farol trasero der,SYC,0.25,Farol Trasero Derecho
21386/2020,M322741,varios resto,Reparar,0.00,Otro
21393/2020,M325989,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21393/2020,M325989,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
21393/2020,M325989,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
21393/2020,M325989,careta central,Sustituir,0.50,Otro
21393/2020,M325989,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
21393/2020,M325989,insignia emblema,Sustituir,0.10,Otro
21393/2020,M325989,guia de paragolpes der,Sustituir,0.20,Otro
21393/2020,M325989,puerta delantera des parcial parcial der,Reparar,1.50,Puerta Delantera Derecha
21393/2020,M325989,frente soldado completo,Reparar,3.00,Otro
21393/2020,M325989,frente inf,Reparar,3.00,Otro
21393/2020,M325989,condensador de aa,SYC,1.00,Otro
21393/2020,M325989,carga de gas,Sustituir,0.00,Otro
21393/2020,M325989,radiador de agua soltar,SYC,0.80,Otro
21393/2020,M325989,alma de paragolpe delantera,Reparar,2.00,Otro
21393/2020,M325989,capot,Reparar,1.50,Capot
21393/2020,M325989,marco cromado careta,Sustituir,0.00,Otro
21399/2020,M303430,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21399/2020,M303430,careta,Sustituir,0.50,Otro
21399/2020,M303430,insignia emblema,Sustituir,0.10,Otro
21399/2020,M303430,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
21399/2020,M303430,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
21399/2020,M303430,electro de condensador,Sustituir,0.60,Otro
21399/2020,M303430,radiador de agua,Sustituir,0.80,Otro
21399/2020,M303430,condensador de aa,Sustituir,1.00,Otro
21399/2020,M303430,carga de gas,Sustituir,0.00,Otro
21399/2020,M303430,refrigerante,Sustituir,0.00,Otro
21399/2020,M303430,encausador aire radiador agua,Sustituir,0.20,Otro
21399/2020,M303430,frente atornillado completo,Sustituir,4.00,Otro
21399/2020,M303430,guia de paragolpes del x2,Sustituir,0.20,Otro
21399/2020,M303430,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
21399/2020,M303430,bucheglass del der,Sustituir,0.30,Otro
21399/2020,M303430,capot,Sustituir,1.00,Capot
21399/2020,M303430,cierre de espolon,Sustituir,0.25,Otro
21399/2020,M303430,bisagras capot x 2,Sustituir,0.25,Otro
21399/2020,M303430,pasarrueda delantero der,Reparar,6.00,Otro
21399/2020,M303430,guardabarro delantero izq,Reparar,3.00,Guardabarro Delantero Izquierdo
21399/2020,M303430,pasarrueda delantero izq,Reparar,2.00,Otro
21399/2020,M303430,puerta delantera des parcial der,Reparar,4.00,Puerta Delantera Derecha
21399/2020,M303430,puerta delantera des parcial izq,Reparar,4.00,Puerta Delantera Izquierda
21399/2020,M303430,puertas tras des parcial der,Reparar,4.00,Puerta Trasera Derecha
21399/2020,M303430,montante tras de cabiba der,Reparar,2.00,Otro
21399/2020,M303430,puertas tras des parcial izq,Reparar,8.00,Puerta Trasera Izquierda
21399/2020,M303430,rejilla centde parag,Sustituir,0.00,Otro
21399/2020,M303430,fletes,Sustituir,0.00,Otro
21399/2020,M303430,paleta electro,Sustituir,0.50,Otro
21399/2020,M303430,embrague viscoso,Sustituir,0.50,Otro
21399/2020,M303430,deposito hidraulico,Sustituir,0.00,Otro
21399/2020,M303430,liquido de direccion 1 lts,Sustituir,0.00,Otro
21399/2020,M303430,correa bomba hidr ulic,Sustituir,0.25,Otro
21399/2020,M303430,mangon radi sup,Sustituir,0.30,Otro
21399/2020,M303430,polea cigue$?al,Sustituir,0.50,Otro
21399/2020,M303430,carcaza filtro aire,Sustituir,0.25,Otro
21399/2020,M303430,filtro de aire,Sustituir,0.00,Otro
21399/2020,M303430,fletes,Sustituir,0.00,Otro
21412/2020,M303431,careta,Sustituir,0.50,Otro
21412/2020,M303431,insignia emblema careta,Sustituir,0.10,Otro
21412/2020,M303431,soporte de paragolpe del en 3 partes,Reparar,3.00,Otro
21412/2020,M303431,guia de paragolpes del x2,Sustituir,0.20,Otro
21412/2020,M303431,encausador aire izq,Sustituir,0.20,Otro
21412/2020,M303431,encausador aire der,Sustituir,0.20,Otro
21412/2020,M303431,broches paragolpe del,Sustituir,0.00,Otro
21412/2020,M303431,broches careta,Sustituir,0.00,Otro
21412/2020,M303431,porta matric del,Sustituir,0.10,Otro
21412/2020,M303431,encausador aire radiador agua,Reparar,3.00,Otro
21412/2020,M303431,frente superior atornillado central,Sustituir,2.00,Otro
21412/2020,M303431,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
21412/2020,M303431,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
21412/2020,M303431,guardabarro delantero izq,Reparar,4.00,Guardabarro Delantero Izquierdo
21412/2020,M303431,guardabarro delantero der,Reparar,6.00,Guardabarro Delantero Derecho
21412/2020,M303431,capot,Sustituir,1.00,Capot
21412/2020,M303431,tapa de caja pick up,Sustituir,1.00,Otro
21412/2020,M303431,broches spoiler tapa ca,Sustituir,0.00,Otro
21412/2020,M303431,insignia emblema tapa caja,Sustituir,0.10,Otro
21412/2020,M303431,insignia se tapa caja,Sustituir,0.20,Otro
21412/2020,M303431,paragolpe trasero completo,Sustituir,1.00,Paragolpe Trasero
21412/2020,M303431,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
21412/2020,M303431,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
21412/2020,M303431,porta matric trasero viene c paragolpe,SYC,0.10,Otro
21412/2020,M303431,alma de paragolpe delantera,Reparar,4.00,Otro
21412/2020,M303431,radiador de agua,SYC,0.80,Otro
21412/2020,M303431,condensador de aa,SYC,1.00,Otro
21412/2020,M303431,carga de gas,Sustituir,0.00,Otro
21412/2020,M303431,refrigerante,Sustituir,0.00,Otro
21412/2020,M303431,panel trasero cola,Reparar,6.00,Panel Trasero
21412/2020,M303431,piso trasero,Reparar,4.00,Otro
21412/2020,M303431,puerta delantera des parcial izq,Reparar,6.00,Puerta Delantera Izquierda
21412/2020,M303431,aloj faro del izq,Reparar,4.00,Otro
21412/2020,M303431,aloj faro del (derizq) der,Reparar,4.00,Otro
21412/2020,M303431,lateral caja izq,Reparar,5.00,Lateral de Caja Izquierdo
21412/2020,M303431,lateral caja der,Reparar,5.00,Lateral de Caja Derecho
21412/2020,M303431,pasarrueda delantero izq,Reparar,2.00,Otro
21412/2020,M303431,pasarrueda delantero der,Reparar,2.00,Otro
21412/2020,M303431,bisagras capot x2,Reparar,2.00,Otro
21412/2020,M303431,puerta delantera des parcial der,Reparar,6.00,Puerta Delantera Derecha
21412/2020,M303431,paragolpe delantero,Sustituir,1.00,Paragolpe Delantero
21412/2020,M303431,frente inf atornillado,Sustituir,2.00,Otro
21412/2020,M303431,carcaza filtro aire inferior,Reparar,2.00,Otro
21412/2020,M303431,bandeja inf paragolpe del,Sustituir,0.15,Otro
21412/2020,M303431,fletes,Sustituir,0.00,Otro
21434/2020,M324982,fender tras (izqder) izq,Sustituir,0.30,Otro
21434/2020,M324982,guardabarro trasero soldado izq,Reparar,7.00,Guardabarro Trasero Izquierdo
21434/2020,M324982,pasarrueda trasero izq,Reparar,3.00,Otro
21434/2020,M324982,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21434/2020,M324982,paragolpe trasero,Reparar,3.50,Paragolpe Trasero
21434/2020,M324982,asiento trasero,SYC,0.80,Otro
21434/2020,M324982,tapizados alfombras burletes izq,SYC,1.00,Otro
21654/2020,M325628,techo crefuerzo,Sustituir,10.00,Techo
21654/2020,M325628,parabrisas,Sustituir,2.00,Otro
21654/2020,M325628,kit pegado x3,Sustituir,0.00,Otro
21654/2020,M325628,vidrios fijos tras izq,Sustituir,0.80,Otro
21654/2020,M325628,vidrios fijos der,SYC,0.80,Otro
21654/2020,M325628,burlete solo parabrisas,Sustituir,0.00,Otro
21654/2020,M325628,capot,Sustituir,1.00,Capot
21654/2020,M325628,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
21654/2020,M325628,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
21654/2020,M325628,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
21654/2020,M325628,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
21654/2020,M325628,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
21654/2020,M325628,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
21654/2020,M325628,puerta delan desarme completo izq,Sustituir,6.00,Puerta Delantera Izquierda
21654/2020,M325628,puerta delan desarme completo der,Sustituir,6.00,Puerta Delantera Derecha
21654/2020,M325628,puerta tras desarme compl izq,Sustituir,6.00,Puerta Trasera Izquierda
21654/2020,M325628,puerta tras desarme compl der,Sustituir,6.00,Puerta Trasera Derecha
21654/2020,M325628,chorizo izq de techo,Reparar,6.00,Otro
21654/2020,M325628,guardabarro trasero soldado izq (61611),Sustituir,12.00,Guardabarro Trasero Izquierdo
21654/2020,M325628,guardabarro trasero soldado der (61611),Sustituir,12.00,Guardabarro Trasero Derecho
21654/2020,M325628,tapizado de techo,Sustituir,3.00,Otro
21654/2020,M325628,air bag lateral cortina der,Sustituir,1.00,Otro
21654/2020,M325628,tapa ext deposito comb,Sustituir,0.20,Otro
21654/2020,M325628,caY=o de llenado de comb,SYC,0.50,Otro
21654/2020,M325628,vidrio de pta del izq,Sustituir,1.00,Otro
21654/2020,M325628,polarizados x2,Sustituir,0.00,Otro
21654/2020,M325628,manija puerta ext del izq,Sustituir,0.00,Otro
21654/2020,M325628,manija puerta ext tras izq,Sustituir,0.00,Otro
21654/2020,M325628,manija puerta ext del der,Sustituir,0.00,Otro
21654/2020,M325628,manija puerta ext tras der,Sustituir,0.00,Otro
21654/2020,M325628,12 coliza del ext der,Sustituir,0.20,Otro
21654/2020,M325628,12 coliza ext tras der,Sustituir,0.20,Otro
21654/2020,M325628,12 coliza ext del izq,Sustituir,0.20,Otro
21654/2020,M325628,espejo retrovisor ext completo izq,Sustituir,0.40,Otro
21654/2020,M325628,espejo retrovisor ext completo der,Sustituir,0.40,Otro
21654/2020,M325628,guia de paragolpes del izq,Sustituir,0.20,Otro
21654/2020,M325628,guia de paragolpes del der,Sustituir,0.20,Otro
21654/2020,M325628,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21654/2020,M325628,rejilla der de parag marco cromado,Sustituir,0.00,Otro
21654/2020,M325628,bagueta cromada parag d der,Sustituir,0.00,Otro
21654/2020,M325628,caja disparadora,Sustituir,0.50,Otro
21654/2020,M325628,reseteo sistema,Sustituir,0.00,Otro
21654/2020,M325628,fender del (izqder) guard der,Sustituir,0.50,Otro
21654/2020,M325628,gotero de techo der,Sustituir,0.25,Otro
21654/2020,M325628,moldura puerta del de montante der,Sustituir,0.00,Otro
21654/2020,M325628,moldura puerta del de montante izq,Sustituir,0.00,Otro
21654/2020,M325628,moldura puerta tras de montante der,Sustituir,0.00,Otro
21654/2020,M325628,moldura puerta tras de montante izq,Sustituir,0.20,Otro
21654/2020,M325628,calcos puerta del der,Sustituir,0.00,Otro
21654/2020,M325628,calcos puerta tras der,Sustituir,0.00,Otro
21654/2020,M325628,calcos puerta tras izq,Sustituir,0.00,Otro
21654/2020,M325628,calcos puerta del izq,Sustituir,0.00,Otro
21654/2020,M325628,insignia lateral x2 limited,Sustituir,0.10,Otro
21654/2020,M325628,fender tras izq,Sustituir,0.50,Otro
21654/2020,M325628,fender tras der,Sustituir,0.50,Otro
21654/2020,M325628,contin de fender tras negro izq,Sustituir,0.00,Otro
21654/2020,M325628,montante de parabrisas der (61131c),Sustituir,4.00,Otro
21654/2020,M325628,"barrero tras, izq",Sustituir,0.20,Otro
21654/2020,M325628,barrero tras der,Sustituir,0.20,Otro
21654/2020,M325628,cierre de puerta cerradura pdel izq,Sustituir,0.00,Otro
21654/2020,M325628,cierre de puerta cilindro pdel izq,Sustituir,0.00,Otro
21654/2020,M325628,brazos y escob cada una jgo escobilla d,Sustituir,0.10,Otro
21654/2020,M325628,pasarrueda delantero der crefuerzo,Reparar,12.00,Otro
21654/2020,M325628,frente soldado completo,Reparar,8.00,Otro
21654/2020,M325628,radiador de agua,SYC,0.80,Otro
21654/2020,M325628,condensador de aa,SYC,1.00,Otro
21654/2020,M325628,refrigerante,Sustituir,0.00,Otro
21654/2020,M325628,techo corredizo elec control,SYC,2.50,Techo
21654/2020,M325628,air bag lateral izq,SYC,1.00,Otro
21654/2020,M325628,tablero completo,SYC,6.00,Otro
21654/2020,M325628,consola de piso(pal cambios),SYC,0.50,Otro
21654/2020,M325628,barras de techo x2,Reparar,3.00,Otro
21654/2020,M325628,porton trasero,Reparar,6.00,Tapa de Baul
21654/2020,M325628,spoiler tras de porton,Reparar,1.00,Otro
21654/2020,M325628,tapizados,SYC,2.00,Otro
21654/2020,M325628,alfombra,SYC,1.00,Otro
21654/2020,M325628,rejilla torpedo,SYC,0.50,Otro
21654/2020,M325628,carcaza filtro aire inf,Sustituir,0.25,Otro
21654/2020,M325628,zocalo plastico izq,SYC,0.30,Zocalo Izquierdo
21654/2020,M325628,zocalo plastico der,SYC,1.00,Zocalo Derecho
21654/2020,M325628,asiento delantero izq,SYC,1.00,Otro
21654/2020,M325628,asiento delantero der,SYC,1.00,Otro
21654/2020,M325628,asiento trasero,SYC,1.00,Otro
21654/2020,M325628,chorizo derde techo,Reparar,6.00,Otro
21654/2020,M325628,montante de parabrisas izq (61131c),Sustituir,4.00,Otro
21654/2020,M325628,montante delan der,SYC,5.50,Otro
21654/2020,M325628,montante delan izq,SYC,5.50,Otro
21654/2020,M325628,montante de parabrisas der refuerzo,Reparar,4.00,Otro
21654/2020,M325628,alineacion x2,Sustituir,0.00,Otro
21654/2020,M325628,carga de gas,Sustituir,0.00,Otro
21654/2020,M325628,paragolpe trasero,Reparar,5.00,Paragolpe Trasero
21654/2020,M325628,pasarueda trasero izq,Reparar,4.50,Otro
21654/2020,M325628,pasarueda trasero der,Reparar,3.00,Otro
21709/2020,M327314,capot,Reparar,4.00,Capot
21709/2020,M327314,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
21709/2020,M327314,parabrisas,Sustituir,2.00,Otro
21709/2020,M327314,montante de parabrisas izq,Reparar,2.00,Otro
21709/2020,M327314,kit pegado,Sustituir,0.00,Otro
21709/2020,M327314,escobillas del,Sustituir,0.10,Otro
21709/2020,M327314,brazos y escob cada una,Reparar,1.00,Otro
21709/2020,M327314,careta,Sustituir,0.50,Otro
21709/2020,M327314,guardabarro delantero izq,Reparar,3.00,Guardabarro Delantero Izquierdo
21709/2020,M327314,faroles delantero,SYC,0.50,Otro
21709/2020,M327314,bucheglass del izq,SYC,0.30,Otro
21723/2020,M326035,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
21723/2020,M326035,moldura trasera der en parag marron,Sustituir,0.10,Otro
21723/2020,M326035,fender tras (izqder) der,Sustituir,0.30,Otro
21723/2020,M326035,paragolpe trasero inf negro,Sustituir,1.00,Paragolpe Trasero
21723/2020,M326035,paragolpe trasero sup pintable,Reparar,1.50,Paragolpe Trasero
21723/2020,M326035,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
21723/2020,M326035,fender tras (izqder) izq,SYC,0.30,Otro
21723/2020,M326035,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
21804/2020,M325648,guardabarro delantero izq,Reparar,3.50,Guardabarro Delantero Izquierdo
21804/2020,M325648,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
21804/2020,M325648,faroles delantero der,SYC,0.50,Farol Delantero Derecho
21804/2020,M325648,bucheglass del der,SYC,0.30,Otro
21804/2020,M325648,paragolpe delantero,SYC,1.00,Paragolpe Delantero
21876/2020,M326259,capot,Reparar,4.50,Capot
21876/2020,M326259,paragolpe del con accesorios,Reparar,3.50,Paragolpe Delantero
21876/2020,M326259,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
21876/2020,M326259,guardabarro delantero izq,Reparar,3.00,Guardabarro Delantero Izquierdo
21876/2020,M326259,faroles delantero der,SYC,0.50,Farol Delantero Derecho
21876/2020,M326259,bucheglass del izq,SYC,0.30,Otro
21876/2020,M326259,puerta delantera des parcial parcial izq,Reparar,2.00,Puerta Delantera Izquierda
21924/2020,M303454,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
21924/2020,M303454,pisadera trascentral viene con parag,SYC,0.50,Otro
21924/2020,M303454,cantonera tras der viene con parag,SYC,0.50,Otro
21924/2020,M303454,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
21924/2020,M303454,lateral caja der,Reparar,4.00,Lateral de Caja Derecho
21924/2020,M303454,tapa de caja pick up,Reparar,4.00,Otro
21924/2020,M303454,panel trasero cola,Reparar,2.00,Panel Trasero
21924/2020,M303454,bisagra de baul tapa caja,Reparar,1.50,Otro
21924/2020,M303454,fletes,Sustituir,0.00,Otro
22014/2020,M326645,careta,Sustituir,0.50,Otro
22014/2020,M326645,marco negro inf de careta,Sustituir,0.25,Otro
22014/2020,M326645,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
22014/2020,M326645,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
22014/2020,M326645,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
22014/2020,M326645,alma de paragolpe delantera,Sustituir,0.50,Otro
22014/2020,M326645,radiador de agua,Sustituir,0.80,Otro
22014/2020,M326645,refrigerante,Sustituir,0.00,Otro
22014/2020,M326645,capot,Reparar,3.50,Capot
22014/2020,M326645,frente soldado completo,Reparar,2.00,Otro
22014/2020,M326645,vanos motor,SYC,1.00,Otro
22014/2020,M326645,guardabarro delantero izq,Reparar,2.00,Guardabarro Delantero Izquierdo
22017/2020,M326321,paragolpe del con accesorios ???,Sustituir,2.00,Paragolpe Delantero
22017/2020,M326321,bucheglass del izq,Sustituir,0.30,Otro
22017/2020,M326321,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
22017/2020,M326321,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
22017/2020,M326321,puerta delantera des parcial izq,Reparar,1.00,Puerta Delantera Izquierda
22017/2020,M326321,aloj faro del (derizq) izq,Reparar,1.00,Otro
22017/2020,M326321,vanos motor,SYC,1.00,Otro
22072/2020,M327609,guardabarro trasero soldado izq,Reparar,3.00,Guardabarro Trasero Izquierdo
22072/2020,M327609,puertas tras des parcial izq,Reparar,4.00,Puerta Trasera Izquierda
22072/2020,M327609,puerta delantera des parcial izq,Reparar,8.00,Puerta Delantera Izquierda
22072/2020,M327609,manija puerta del ext izq,Reparar,0.50,Otro
22072/2020,M327609,manija puerta tras ext izq,Reparar,0.50,Otro
22072/2020,M327609,zocalo izq,Reparar,3.00,Zocalo Izquierdo
22072/2020,M327609,calcos high pdel izq,Sustituir,0.00,Otro
22072/2020,M327609,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
22073/2020,M322784,faro de matricula,Sustituir,0.20,Otro
22073/2020,M322784,guia de paragolpes tras izq,Sustituir,0.20,Otro
22073/2020,M322784,guia de paragolpes tras der,Sustituir,0.20,Otro
22073/2020,M322784,panel trasero,Reparar,5.00,Panel Trasero
22073/2020,M322784,tapa de baul ajustar,Reparar,1.00,Tapa de Baul
22073/2020,M322784,paragolpe trasero,Reparar,3.00,Paragolpe Trasero
22073/2020,M322784,spoiler tras infnegro pgpe,Reparar,1.50,Otro
22073/2020,M322784,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
22073/2020,M322784,farol trasero der,SYC,0.25,Farol Trasero Derecho
22073/2020,M322784,piso de baul,Reparar,3.00,Otro
22075/2020,M324921,puertas tras des parcial izq,Reparar,2.00,Puerta Trasera Izquierda
22075/2020,M324921,guardabarro trasero soldado izq,Reparar,0.50,Guardabarro Trasero Izquierdo
22075/2020,M324921,paragolpe delantero,Reparar,1.00,Paragolpe Delantero
22076/2020,M319137,paragolpe trasero,Reparar,4.00,Paragolpe Trasero
22076/2020,M319137,cantonera tras izq,Reparar,1.00,Otro
22076/2020,M319137,cantonera tras der,Reparar,1.00,Otro
22089/2020,M327612,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
22089/2020,M327612,rejilla de aereacion trasera izq,Sustituir,0.20,Otro
22089/2020,M327612,guardabarro soldado trasero izq,Reparar,6.00,Guardabarro Trasero Izquierdo
22089/2020,M327612,panel faro tras izq,Reparar,2.00,Otro
22089/2020,M327612,panel trasero,Reparar,0.50,Panel Trasero
22089/2020,M327612,tapizado baul izq,SYC,0.20,Otro
22089/2020,M327612,guia de paragolpes tras izq,Sustituir,0.20,Otro
22089/2020,M327612,piso de baul,Reparar,4.00,Otro
22089/2020,M327612,medio chasis tras izq,Reparar,3.00,Otro
22089/2020,M327612,pasarueda trasero izq,Reparar,3.00,Otro
22120/2020,M327235,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
