STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
12600/2021,M355491,M,355.491,12.600,2.021,NISSAN,2.021,N4PTIIDA 1.6,2.012,AUTO,GRIS,"LATERAL IZQUIERDO, GUARDABARROS, PUERTAS, PARAGOLPE DELANTERO.",CARS
13585/2021,M355328,M,355.328,13.585,2.021,SUZUKI,2.021,N4PSWIFT 1.2 GL,2.015,AUTO,BCO,P.GOLPE DELANTERO FRENTE CAPOT GUARDABARRO DELANTERO DERECHO CONF. S/OPTICO DERECHO RADIADOR,CARS
12647/2021,M354791,M,354.791,12.647,2.021,CHEVROLET,2.021,N4PONIX 1.0 JOY,2.017,AUTO,GRIS OSC,PARAGOLPE DELANTERO.PUERTAS IZQUIERDAS.ESPEJO IZQUIERDO.GUARDABARRO DELANTERO IZQUIERDO. RUEDA DELANTERA IZQUIERDA.DEMAS A CORROBORAR.,CARS
12450/2021,M349699,M,349.699,12.450,2.021,HYUNDAI,2.021,N4PHB20 NEW 1.0,2.021,AUTO,BLANCO,PUERTA TRASERA IZQUIERDA.,CARS
12612/2021,M349685,M,349.685,12.612,2.021,NISSAN,2.021,N4PTIIDA 1.8 EX,2.011,AUTO,BEIGE,"PARAGOLPE TRASERO, PUERTA DE VALIJA, OPTICO TRASERO IZQUIERDO, DEMAS DA?OS A CORROBORAR",CARS
13115/2021,M349684,M,349.684,13.115,2.021,VOLKSWAGEN,2.021,N4PGOL VII 1.6,2.018,AUTO,GRIS,"GUARDABARROS DERECHOS, PUERTAS DERECHAS, PARAGOLPE DELANTERO.",CARS
12106/2021,M356735,M,356.735,12.106,2.021,NISSAN,2.021,NNOTE ADVANCE 1,2.017,AUTO,BLANCO,"FRENTE,PARAGOLPE DELANTERO GUARDABARRO DELANTERO IZQUIERDO CAPOT ?PTICOS PUERTA DELANTERA DERECHA Z?CALO DERECHO RADIADOR LLANTA DELANTERA DERECHA",CARS
12854/2021,M355932,M,355.932,12.854,2.021,HYUNDAI,2.021,N4PI10 1.1 GL G,2.014,AUTO,NEGRO,ENVOLVENTES. PASARUEDA DELANTERA DERECHA.  CAMINERO DERECHO. GUARDABARRO DELANTERO DERECHO.  TREN DELANTERO. A/CORROBORAR DEMAS DA?OS,CARS
12355/2021,M354736,M,354.736,12.355,2.021,CHEVROLET,2.021,N4PAVEO 1.6 LS,2.011,AUTO,GRIS,"PARAGOLPE TRASERO, BAUL, FAROLES TRASEROS, AMBOS LATERALES TRASEROS, ALMA TRASERO, DEMAS  A CORROBORAR",CARS
12301/2021,M355946,M,355.946,12.301,2.021,RENAULT,2.021,N4PKWID 1.0 INT,2.018,AUTO,BEIGE,PUERTAS IZQUIERDAS. ZOCALO IZQUIERDO. GUARDABARRO DELANTERO IZQUIERDO.  ESPEJO IZQUIERDO.,CARS
11996/2021,M355450,M,355.450,11.996,2.021,CHEVROLET,2.021,N4PONIX NUEVO 1,2.018,AUTO,GRIS,"CAPOT, CARETA, PARAGOLPE Y DEMAS A CORROBORAR.",CARS
11974/2021,M355138,M,355.138,11.974,2.021,RENAULT,2.021,N4PCLIO IV 1.2,2.016,AUTO,GRIS,AMBAS GUARD DEL. AMBOS OPT PARAG. DEL. CARETA CAPO,CARS
12084/2021,M355129,M,355.129,12.084,2.021,BYD,2.021,N4PF0 1.0 GI FU,2.012,AUTO,GRIS,ENVOLVENTE TRASERO GUARDABARRO TRASERO IZQUIERDO OPTICA TRASERA IZQUIERDA RUEDA TRASERA IZQUIERDA TAZA OTROS A CORROBORAR,CARS
12376/2021,M354180,M,354.180,12.376,2.021,SUZUKI,2.021,NS PRESSO 1.0 G,2.020,AUTO,GRAFITO,PARAGOLPE DELANTERO CAPOT CARETA RADIADOR LLANTAS Y TAZAS DELANTERA PERDIDA DE ACEITE AMBOS GUARDABARROS Y PUERTAS DERECHAS RETROVISOR DERECHO FAROL TRASERO DERECHO,CARS
12164/2021,M354173,M,354.173,12.164,2.021,SUZUKI,2.021,N4PDZIRE GA,2.019,AUTO,NEGRO,PARAGOLPE DELANTERO CARETA A CORROBORAR CAPOT,CARS
12230/2021,M354353,M,354.353,12.230,2.021,PEUGEOT,2.021,N208 NEW 1.2 AC,2.021,AUTO,GRIS,PARAGOLPE TRASERO TAPA BAUL DEMAS A CORROBORAR,CARS
12787/2021,M355250,M,355.250,12.787,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.019,AUTO,GRIS,AMBOS P.GOLPES PANEL Y FAROLES TRASEROS TAPA Y PISO BAUL GUARDABARRO Y PUERTA TRASERA DERECHA FRENTE CAPOT CONF. SOPORTES S/OPTICOS RADIADOR INT BAUL,CARS
12173/2021,M355903,M,355.903,12.173,2.021,SUZUKI,2.021,N4PCELERIO,2.020,AUTO,BLANCO,ENVOLVENTE TRASERO.  PORTON TRASERO,CARS
