Siniestro,DENUNCIA,Pieza,Tarea,Horas
18199/2020,M318236,MANIJA PUERTA del DER             ,Sustituir,0.00
18199/2020,M318236,PARAGOLPE TRASERO .                   ,Reparar,1.50
18199/2020,M318236,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,4.50
18199/2020,M318236,FAROL TRASERO IZQ                 ,SYC,0.25
18199/2020,M318236,FAROL TRASERO DER                 ,SYC,0.25
18199/2020,M318236,ASIENTO TRASERO                     ,SYC,0.80
18199/2020,M318236,TAPIZADO BAUL DER.                     ,SYC,0.20
18199/2020,M318236,TAPA EXT. DEPOSITO COMB.                     ,Reparar,0.50
18199/2020,M318236,MONTANTE CENTRALES                     ,Reparar,1.50
18199/2020,M318236,BISAGRAS PUERTAS trasx2 DER          ,Reparar,1.00
18199/2020,M318236,CA¥O DE LLENADO DE COMB.                     ,SYC,0.25
18318/2020,M322650,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18318/2020,M322650,REFRIGERANTE                     ,Sustituir,0.00
18318/2020,M322650,CONDENSADOR DE A/A                     ,Sustituir,1.00
18318/2020,M322650,CARGA DE GAS                     ,Sustituir,0.00
18318/2020,M322650,RADIADOR DE AGUA                     ,Sustituir,0.80
18318/2020,M322650,ELECTROVENTILADOR c/soporte           ,Sustituir,0.60
18318/2020,M322650,REJILLA CENT.DE PARAG.                     ,Sustituir,0.00
18318/2020,M322650,CARETA                     ,Sustituir,0.50
18318/2020,M322650,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
18318/2020,M322650,LARGUERO DE CHASIS DELANTERO IZQ                 ,Reparar,10.00
18318/2020,M322650,LARGUERO DE CHASIS DELANTERO DER                 ,Reparar,2.00
18318/2020,M322650,PASARUEDA CON TORRE IZQ                 ,Reparar,6.00
18318/2020,M322650,PASARUEDA CON TORRE DER                 ,Reparar,2.00
18318/2020,M322650,CAPOT                     ,Sustituir,1.00
18318/2020,M322650,BISAGRAS CAPOT IZQ                 ,Sustituir,0.25
18318/2020,M322650,BISAGRAS CAPOT DER                 ,Sustituir,0.25
18318/2020,M322650,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,1.00
18318/2020,M322650,SACAR/COLOCAR MOTOR                     ,SYC,8.00
18318/2020,M322650,AIRBAG IZQ                 ,Sustituir,1.00
18318/2020,M322650,AIRBAG DER                 ,Sustituir,1.00
18318/2020,M322650,CAJA DISPARADORA                     ,Sustituir,0.50
18318/2020,M322650,RESETEO SISTEMA                     ,Sustituir,0.00
18318/2020,M322650,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
18318/2020,M322650,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
18318/2020,M322650,GUIA DE PARAGOLPES del IZQ             ,Sustituir,0.20
18318/2020,M322650,GUIA DE PARAGOLPES del DER             ,Sustituir,0.20
18318/2020,M322650,DEPOSITO DE AGUA RAD.                     ,Sustituir,0.25
18318/2020,M322650,CARCAZA FILTRO AIRE                     ,Sustituir,0.25
18318/2020,M322650,SUSP. DEL IZQ                 ,SYC,3.00
18318/2020,M322650,ALINEACION                     ,Sustituir,0.00
18318/2020,M322650,BALANCEAR                     ,Sustituir,0.00
18318/2020,M322650,PARABRISAS                     ,Sustituir,2.00
18318/2020,M322650,KIT PEGADO                     ,Sustituir,0.00
18318/2020,M322650,CA¥O AIRE ACONDICIONADO evaporador a conden ,Sustituir,0.50
18318/2020,M322650,FRENTE SOLDADO COMPLETO                     ,Sustituir,6.00
18318/2020,M322650,TRAVESA¥O ENTRECHASIS inf                 ,Sustituir,3.00
18318/2020,M322650,BATERIA                     ,Sustituir,0.30
18318/2020,M322650,SOPORTE DE BATERIA .                   ,Reparar,1.00
18318/2020,M322650,SE¥ALERO/S LATERAL/ES izq np              ,Sustituir,0.25
18318/2020,M322650,SOPORTE BARRA ESTABILIZADORA de chapa izq        ,Sustituir,0.50
18318/2020,M322650,VANOS MOTOR                     ,SYC,1.50
18318/2020,M322650,GUARDABARRO/S DELANTERO/S der                 ,Reparar,2.00
18318/2020,M322650,BUCHEGLASS del izq             ,SYC,0.30
18318/2020,M322650,BUCHEGLASS del der             ,SYC,0.30
18352/2020,M323037,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
18352/2020,M323037,BUCHEGLASS DER                 ,SYC,0.30
18352/2020,M323037,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,4.00
18352/2020,M323037,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
18352/2020,M323037,PUERTA DELAN. DESARME COMPLETO                     ,Reparar,4.00
18352/2020,M323037,PUERTA TRAS.  DESARME COMPL. DER                 ,Reparar,2.00
18532/2020,M321571,PARAGOLPE TRASERO cromado             ,Sustituir,1.00
18532/2020,M321571,PISADERA TRAS.IZQ. (c/pgolpe)          ,SYC,0.50
18532/2020,M321571,FAROL TRASERO IZQ                 ,Sustituir,0.25
18532/2020,M321571,LATERAL CAJA IZQ                 ,Reparar,4.00
18532/2020,M321571,PANEL FARO TRAS IZQ.                     ,Reparar,2.00
18532/2020,M321571,TAPA DE CAJA TRASERA                     ,Reparar,2.00
18538/2020,M323067,PARAGOLPE TRASERO                     ,Sustituir,1.00
18538/2020,M323067,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,1.00
18538/2020,M323067,FAROL TRASERO IZQ                 ,SYC,0.25
18551/2020,M319533,TASA/S tras IZQ            ,Sustituir,0.00
18551/2020,M319533,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Sustituir,4.00
18551/2020,M319533,GUARDABARRO TRASERO SOLDADO ??? despiece IZQ    ,Sustituir,8.00
18551/2020,M319533,ALINEACION tras                ,Sustituir,0.00
18551/2020,M319533,BALANCEAR x1                  ,Sustituir,0.00
18551/2020,M319533,ZOCALO IZQ                 ,Reparar,1.50
18551/2020,M319533,PASARRUEDA TRASERO                     ,Reparar,1.50
18551/2020,M319533,ASIENTO TRASERO                     ,SYC,0.80
18551/2020,M319533,TAPIZADOS ALFOMBRAS BURLETES IZQ                 ,SYC,1.50
18551/2020,M319533,PUERTA DELANTERA DES. PARCIAL 50% IZQ             ,Reparar,1.00
18551/2020,M319533,PARAGOLPE TRASERO                     ,SYC,1.00
18551/2020,M319533,FAROL TRASERO IZQ                 ,SYC,0.25
18551/2020,M319533,FAROL TRASERO DER                 ,SYC,0.25
18560/2020,M318268,PARAGOLPE TRASERO                     ,Sustituir,1.00
18560/2020,M318268,FAROL TRASERO IZQ                 ,Sustituir,0.25
18560/2020,M318268,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,2.00
18560/2020,M318268,FAROL TRASERO DER                 ,SYC,0.25
18563/2020,M322627,CONDENSADOR DE A/A                     ,Sustituir,1.00
18563/2020,M322627,CARGA DE GAS                     ,Sustituir,0.00
18563/2020,M322627,ALMA DE PARAGOLPE DELANTERA                     ,Sustituir,0.50
18563/2020,M322627,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18563/2020,M322627,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
18563/2020,M322627,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
18563/2020,M322627,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
18563/2020,M322627,CAMINERO IZQ                 ,Sustituir,0.00
18563/2020,M322627,CAMINERO DER                 ,Sustituir,0.00
18563/2020,M322627,SPOILER DELANTERO goma inferior       ,Sustituir,0.50
18563/2020,M322627,CARETA c/viras grises      ,Sustituir,0.50
18563/2020,M322627,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
18563/2020,M322627,BROCHES de parag x15        ,Sustituir,0.00
18563/2020,M322627,GUIA DE PARAGOLPES del x2              ,Sustituir,0.20
18563/2020,M322627,CAPOT                     ,Reparar,3.00
18563/2020,M322627,GUARDABARRO/S DELANTERO/S  IZQ                ,Reparar,1.00
18563/2020,M322627,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,1.00
18563/2020,M322627,VANOS MOTOR                     ,SYC,1.00
18563/2020,M322627,BUCHEGLASS del DER             ,Sustituir,0.30
18563/2020,M322627,BISAGRAS CAPOT AJUSTE              ,Reparar,1.00
18563/2020,M322627,FRENTE DE FIBRA                     ,SYC,2.00
18591/2020,M322656,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,2.00
18591/2020,M322656,PARAGOLPE TRASERO                     ,Reparar,1.00
18591/2020,M322656,FAROL TRASERO IZQ                 ,SYC,0.25
18591/2020,M322656,FAROL TRASERO DER                 ,SYC,0.25
18591/2020,M322656,BUCHEGLASS tras IZQ            ,SYC,0.30
18600/2020,M323848,PARAGOLPE DEL CON ACCESORIOS PARCIAL             ,Reparar,2.00
18600/2020,M323848,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,3.00
18600/2020,M323848,PUERTA DELANTERA DES. PARCIAL DER                 ,Reparar,4.00
18600/2020,M323848,PUERTAS TRAS. DES. PARCIAL DER                 ,Reparar,2.00
18600/2020,M323848,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,0.00
18600/2020,M323848,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
18600/2020,M323848,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
18600/2020,M323848,BUCHEGLASS del DER             ,SYC,0.30
18604/2020,M323063,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18604/2020,M323063,CARETA c/cromado           ,Sustituir,0.50
18604/2020,M323063,INSIGNIA - EMBLEMA                     ,Sustituir,0.10
18604/2020,M323063,SPOILER DELANTERO cam a cam           ,Sustituir,0.50
18604/2020,M323063,REJILLA CENT.DE PARAG. c/marco             ,Sustituir,0.10
18604/2020,M323063,FRENTE SUPERIOR ATORNILLADO                     ,Reparar,1.50
18604/2020,M323063,BISAGRAS CAPOT x2                  ,Reparar,1.00
18604/2020,M323063,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
18604/2020,M323063,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
18604/2020,M323063,VANOS MOTOR                     ,SYC,1.00
18604/2020,M323063,CAPOT AJUSTE              ,Reparar,1.00
18604/2020,M323063,ALMA DE PARAGOLPE DELANTERA                     ,Reparar,1.00
18655/2020,M323803,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18655/2020,M323803,GUIA DE PARAGOLPES DER                 ,Sustituir,0.20
18655/2020,M323803,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
18655/2020,M323803,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
18655/2020,M323803,BUCHEGLASS DER                 ,Sustituir,0.30
18664/2020,M323201,PUERTA DELAN. DESARME COMPLETO IZQ                 ,Sustituir,6.00
18664/2020,M323201,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Sustituir,6.00
18664/2020,M323201,BISAGRAS PUERTAS del IZQ   x2        ,Reparar,1.50
18664/2020,M323201,BISAGRAS PUERTAS tras IZQ  x2        ,Reparar,1.50
18664/2020,M323201,MANIJA PUERTA etx del IZQ         ,Sustituir,0.00
18664/2020,M323201,MANIJA PUERTA PDelbase de IZQ     ,Sustituir,0.00
18664/2020,M323201,TAPA CILINDRO MANIJA PUERTA np IZQ              ,Sustituir,0.00
18664/2020,M323201,MANIJA PUERTA marco de goma d IZQ ,Sustituir,0.00
18664/2020,M323201,CIERRE DE PUERTA cilindro Pdel IZQ   ,Sustituir,0.00
18664/2020,M323201,UNIFICAR LLAVES                     ,Sustituir,0.00
18664/2020,M323201,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,1.00
18664/2020,M323201,MONTANTE DELAN. IZQ                 ,Reparar,2.00
18664/2020,M323201,MONTANTE CENTRALES IZQ                 ,Reparar,6.00
18664/2020,M323201,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,3.00
18664/2020,M323201,ASIENTO DELANTERO IZQ                 ,SYC,1.00
18664/2020,M323201,ALFOMBRA                     ,SYC,1.00
18664/2020,M323201,TAPIZADO IZQ                 ,SYC,0.50
18664/2020,M323201,MOLDURA CROMADA IZQ                 ,SYC,0.50
18664/2020,M323201,ZOCALO plastico            ,Reparar,4.00
18664/2020,M323201,FAROL TRASERO IZQ                 ,Reparar,1.00
18664/2020,M323201,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
18664/2020,M323201,BURLETE SOLO carrocer¡a Pdel IZQ ,Sustituir,0.25
18664/2020,M323201,BUCHEGLASS tras IZQ            ,SYC,0.30
18664/2020,M323201,BUCHEGLASS del IZQ             ,SYC,0.50
18664/2020,M323201,RESETEO SISTEMA                     ,Sustituir,0.00
18664/2020,M323201,CINTO SEGURIDAD izq                 ,SYC,0.50
18664/2020,M323201,PARAGOLPE TRASERO                     ,Reparar,3.00
18664/2020,M323201,FAROL TRASERO der                 ,SYC,0.25
18664/2020,M323201,ESPEJO RETROVISOR EXT. izq                 ,Sustituir,0.40
18760/2020,M323494,PARAGOLPE TRASERO texturado negro     ,Reparar,4.00
18760/2020,M323494,SENSORES                     ,SYC,1.00
18760/2020,M323494,SPOILER TRAS.                     ,SYC,0.50
18760/2020,M323494,PORTON TRASERO                     ,Sustituir,4.00
18760/2020,M323494,KIT PEGADO                     ,Sustituir,0.00
18760/2020,M323494,LUNETA TRAS.                     ,SYC,1.00
18760/2020,M323494,CANTONERA IZQ                 ,SYC,0.50
18760/2020,M323494,CANTONERA DER                 ,SYC,0.50
18760/2020,M323494,CIERRE ELECTRICO PORTON sup                 ,Sustituir,0.25
18760/2020,M323494,PANEL TRASERO ajustar             ,Reparar,2.00
18760/2020,M323494,FAROL TRASERO IZQ                 ,SYC,0.25
18760/2020,M323494,FAROL TRASERO DER                 ,SYC,0.25
18760/2020,M323494,INSIGNIA kit tras            ,Reparar,1.00
18873/2020,M322417,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18873/2020,M322417,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
18873/2020,M322417,"REJILLA IZQ, DE PARAG.                     ",Sustituir,0.10
18873/2020,M322417,CAMINERO IZQ                 ,Sustituir,0.00
18873/2020,M322417,REJILLA CENT.DE PARAG.                     ,Sustituir,0.10
18873/2020,M322417,ALMA DE PARAGOLPE DELANTERA                     ,Reparar,2.00
18873/2020,M322417,CAPOT                     ,Reparar,4.00
18873/2020,M322417,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
18873/2020,M322417,CHAPA SOPORTE FARO DEL izq                 ,Reparar,0.50
18873/2020,M322417,BAGUETA pgpe                ,Sustituir,0.40
18890/2020,M322528,PARAGOLPE TRASERO                     ,Sustituir,1.00
18890/2020,M322528,FAROL TRASERO DER                 ,Sustituir,0.25
18890/2020,M322528,BROCHES jgo pgpe            ,Sustituir,0.00
18890/2020,M322528,PISO DE BAUL                     ,Reparar,4.00
18890/2020,M322528,PANEL TRASERO                     ,Reparar,6.00
18890/2020,M322528,PANEL FARO TRAS. DER.                     ,Reparar,1.00
18890/2020,M322528,TAPA DE BAUL                     ,Reparar,4.00
18890/2020,M322528,TAPIZADO BAUL COMPL.                     ,SYC,0.60
18965/2020,M303372,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
18965/2020,M303372,REJILLA CENT.DE PARAG. pintable            ,Sustituir,0.10
18965/2020,M303372,SPOILER DELANTERO                     ,Sustituir,0.50
18965/2020,M303372,EMBELLECEDOR INF.PARAG/DEL GRIS PLATA          ,Sustituir,0.00
18965/2020,M303372,CAMINERO DER                 ,Sustituir,0.00
18965/2020,M303372,MARCO CAMINERO DER. .                   ,Sustituir,0.10
18965/2020,M303372,FENDER DEL. de paragolpe IZQ    ,Sustituir,0.30
18965/2020,M303372,FENDER DEL. de guardabarro IZQ  ,Sustituir,0.30
18965/2020,M303372,FENDER DEL. de paragolpe DER    ,Sustituir,0.30
18965/2020,M303372,FENDER DEL. de guardabarro DER  ,Sustituir,0.30
18965/2020,M303372,FAROL AUXILIO BAJO FAROL D/D .                   ,Sustituir,0.50
18965/2020,M303372,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
18965/2020,M303372,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
18965/2020,M303372,ALMA DE PARAGOLPE DELANTERA aluminio            ,Sustituir,0.50
18965/2020,M303372,ABSORB. DE PARAG. SUP. espuma              ,Sustituir,0.20
18965/2020,M303372,CIERRE INF. PARAG/DEL AL MARCO FRONTAL             ,Sustituir,0.15
18965/2020,M303372,FRENTE ATORNILLADO COMPLETO chapa               ,Sustituir,4.00
18965/2020,M303372,FRENTE DE FIBRA viene con completo  ,SYC,2.00
18965/2020,M303372,SOPORTES RADIADOR agua IZQ            ,Sustituir,0.15
18965/2020,M303372,SOPORTES RADIADOR agua DER            ,Sustituir,0.15
18965/2020,M303372,SOPORTE DE PARAGOLPE DEL. superior            ,Sustituir,0.50
18965/2020,M303372,BOCINA                     ,Sustituir,0.30
18965/2020,M303372,CONDENSADOR DE A/A                     ,Sustituir,1.00
18965/2020,M303372,RADIADOR DE AGUA                     ,Sustituir,0.80
18965/2020,M303372,CARGA DE GAS                     ,Sustituir,0.00
18965/2020,M303372,REFRIGERANTE                     ,Sustituir,0.00
18965/2020,M303372,ELECTROVENTILADOR c/soporte           ,Sustituir,0.60
18965/2020,M303372,CAPOT                     ,Sustituir,1.00
18965/2020,M303372,BISAGRAS CAPOT x2                  ,Sustituir,0.25
18965/2020,M303372,TRAVESA¥O ENTRECHASIS central chapa       ,Sustituir,3.00
18965/2020,M303372,CA¥O ENTRADA FILTRO AIRE COMP .                   ,Sustituir,0.30
18965/2020,M303372,BUCHEGLASS del. DER            ,Sustituir,0.30
18965/2020,M303372,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
18965/2020,M303372,SACAR/COLOCAR MOTOR controlar           ,SYC,8.00
18965/2020,M303372,ALINEACION                     ,Sustituir,0.00
18965/2020,M303372,ESCANEO SISTEMA                     ,Sustituir,0.00
18965/2020,M303372,GUARDABARRO/S DELANTERO/S IZQ                 ,Reparar,2.00
18965/2020,M303372,PASARRUEDA  DELANTERO DER                 ,Reparar,4.00
18965/2020,M303372,PASARRUEDA  DELANTERO IZQ                 ,Reparar,1.50
18965/2020,M303372,LARGUERO DE CHASIS DELANTERO DER                 ,Reparar,8.00
18965/2020,M303372,LARGUERO DE CHASIS DELANTERO IZQ                 ,Reparar,6.00
18965/2020,M303372,CUNA MOTOR .                   ,Sustituir,3.00
18965/2020,M303372,FALSO CHASSIS IZQ falso chasis de IZQ ,Sustituir,0.00
18965/2020,M303372,FALSO CHASSIS DER falso chasis de DER ,Sustituir,0.00
18965/2020,M303372,SENSORES motor controlar     ,SYC,1.00
18965/2020,M303372,SOPORTE FAROL AUXILIAR PARAG. DEL/DER             ,Sustituir,0.00
18965/2020,M303372,PARRILLA DE SUSP. DEL. IZQ                 ,Sustituir,1.00
18965/2020,M303372,PARRILLA DE SUSP. DEL. DER                 ,Sustituir,1.00
18965/2020,M303372,SUSP. DEL. DERECHA IZQ                 ,SYC,3.00
18965/2020,M303372,SUSP. DEL IZQUIERDA DER                 ,SYC,3.00
18965/2020,M303372,CREMALLERA                     ,Sustituir,1.00
18965/2020,M303372,COLUMNA DE DIRECCION electroasistida     ,Sustituir,2.00
18965/2020,M303372,MODULO DIRECCION ELECTRICA viene con columna   ,SYC,0.00
18965/2020,M303372,SENSORES impacto complet     ,SYC,0.25
18965/2020,M303372,SENSORES abs                 ,Sustituir,0.25
18965/2020,M303372,MODULO ABS                     ,Sustituir,1.00
19006/2020,M322996,PARAGOLPE TRASERO                     ,Sustituir,1.00
19006/2020,M322996,PANEL TRASERO COLA                ,Reparar,4.50
19006/2020,M322996,TAPA BAUL HATCH                     ,Reparar,2.50
19006/2020,M322996,ALOJ. FARO TRAS.(IZQ./DER.) IZQ                 ,Reparar,1.00
19006/2020,M322996,PISO DE BAUL                     ,Reparar,2.00
19006/2020,M322996,TAPIZADO BAUL COMPL.                     ,SYC,0.60
19006/2020,M322996,FAROL TRASERO IZQ                 ,SYC,0.25
19006/2020,M322996,FAROL TRASERO DER                 ,SYC,0.25
19144/2020,M324830,PARAGOLPE TRASERO                     ,Sustituir,1.00
19144/2020,M324830,GUIA DE PARAGOLPES tras DER            ,Sustituir,0.20
19144/2020,M324830,PANEL TRASERO cola                ,Reparar,2.00
19144/2020,M324830,ALMA PARAGOLPE TRAS cono tras           ,Reparar,1.00
19144/2020,M324830,FAROL TRASERO IZQ                 ,SYC,0.25
19144/2020,M324830,FAROL TRASERO DER                 ,SYC,0.25
19153/2020,M324602,PARAGOLPE DEL CON ACCESORIOS ???????             ,Sustituir,2.00
19153/2020,M324602,CAPOT                     ,Reparar,2.00
19153/2020,M324602,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
19153/2020,M324602,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,3.00
19153/2020,M324602,SOPORTE FAROL CHAPA DEL.DER.            ,Reparar,1.00
19153/2020,M324602,GUIA DE PARAGOLPES del.bajo faro DER   ,Reparar,0.50
19153/2020,M324602,FRENTE SUPERIOR ATORNILLADO                     ,Reparar,2.00
19153/2020,M324602,BANDEJA INFERIOR PARAGOLPES .                   ,Reparar,1.00
19153/2020,M324602,BUCHEGLASS del. DER            ,Reparar,1.00
19206/2020,M324556,CARETA                     ,Sustituir,0.50
19206/2020,M324556,MOLDURAS DE CARETA cromadas todas      ,SYC,0.00
19206/2020,M324556,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
19206/2020,M324556,FRENTE VERTICAL CENTRAL .                   ,Sustituir,0.50
19206/2020,M324556,FRENTE SUPERIOR ATORNILLADO                     ,Reparar,2.00
19206/2020,M324556,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
19206/2020,M324556,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
19206/2020,M324556,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
19206/2020,M324556,BANDEJA SUP. PARAGOLPE  cubre frente       ,Sustituir,0.15
19206/2020,M324556,CIERRE DE ESPOLON                     ,Sustituir,0.25
19206/2020,M324556,CAPOT                     ,Sustituir,1.00
19206/2020,M324556,BURLETE filo capot          ,Sustituir,0.25
19206/2020,M324556,FORRO INT. DE CAPOT  TAPIZADO                     ,SYC,0.15
19206/2020,M324556,ENCAUSADOR AIRE DER                 ,Sustituir,0.20
19206/2020,M324556,DEFENSA del plastico        ,Sustituir,1.00
19206/2020,M324556,BAGUETA cromada capot       ,Sustituir,0.40
19206/2020,M324556,BROCHES parg y frente       ,Sustituir,0.00
19206/2020,M324556,ENCAUSADOR AIRE sup                 ,SYC,0.20
19312/2020,M324569,PARAGOLPE DEL CON ACCESORIOS                     ,Sustituir,2.00
19312/2020,M324569,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
19312/2020,M324569,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
19312/2020,M324569,GUIA DE PARAGOLPES bajo faro DER       ,Sustituir,0.20
19312/2020,M324569,BUCHEGLASS del DER             ,Sustituir,0.30
19312/2020,M324569,BROCHES x8 buche DER        ,Sustituir,0.00
19312/2020,M324569,DEPOSITO L.P.                     ,Sustituir,0.20
19312/2020,M324569,CUBIERTA 195/55/16           ,Sustituir,0.10
19312/2020,M324569,PARABRISAS .                   ,Sustituir,2.00
19312/2020,M324569,KIT PEGADO                     ,Sustituir,0.00
19312/2020,M324569,LLANTA A REPARAR DER                 ,Reparar,3.00
19312/2020,M324569,ALINEACION del                 ,Sustituir,0.00
19312/2020,M324569,BALANCEAR x1                  ,Sustituir,0.00
19312/2020,M324569,CAPOT parcial             ,Reparar,0.00
19312/2020,M324569,FRENTE SUPERIOR ATORNILLADO                     ,Reparar,1.50
19312/2020,M324569,PASARRUEDA  DELANTERO c/sop guard DER     ,Reparar,1.00
19312/2020,M324569,VANOS MOTOR                     ,SYC,1.00
19312/2020,M324569,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
19398/2020,M324579,CAPOT                     ,Sustituir,1.00
19398/2020,M324579,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
19398/2020,M324579,GUARDABARRO/S DELANTERO/S DER                 ,Sustituir,1.50
19398/2020,M324579,BISAGRAS CAPOT IZQ                 ,Sustituir,0.25
19398/2020,M324579,BISAGRAS CAPOT DER                 ,Sustituir,0.25
19398/2020,M324579,FRENTE DE FIBRA                     ,Sustituir,2.00
19398/2020,M324579,TIRANTE DE FRENTE INF  IZQ                ,Sustituir,0.50
19398/2020,M324579,TIRANTE DE FRENTE INF  DER                ,Sustituir,0.50
19398/2020,M324579,SOPORTE ELECTRO                     ,Sustituir,0.40
19398/2020,M324579,RADIADOR DE AGUA                     ,Sustituir,0.80
19398/2020,M324579,CONDENSADOR DE A/A                     ,Reparar,3.00
19398/2020,M324579,REJILLA CENT.DE PARAG. np                  ,Sustituir,0.00
19398/2020,M324579,TAPA DE REJILLA CENT.DE PARAG. IZQ                 ,Sustituir,0.00
19398/2020,M324579,TAPA DE REJILLA CENT.DE PARAG.  DER                ,Sustituir,0.00
19398/2020,M324579,"REJILLA IZQ, DE PARAG. c/Camineros         ",Sustituir,0.00
19398/2020,M324579,REJILLA DER. DE PARAG. c/caminero          ,Sustituir,0.00
19398/2020,M324579,CAMINERO np DER              ,Sustituir,0.00
19398/2020,M324579,REFUERZO DE PARAGOLPES                     ,Sustituir,0.50
19398/2020,M324579,GUIA DE PARAGOLPES del IZQ             ,Sustituir,0.20
19398/2020,M324579,GUIA DE PARAGOLPES del DER             ,Sustituir,0.20
19398/2020,M324579,LAMPARA DE SEMIOPTICA y caminero          ,Sustituir,0.00
19398/2020,M324579,BUCHEGLASS del IZQ             ,Sustituir,0.30
19398/2020,M324579,BUCHEGLASS DER                 ,Sustituir,0.30
19398/2020,M324579,INSIGNIA - EMBLEMA del                 ,Sustituir,0.10
19398/2020,M324579,FAROL/ES DELANTERO/S IZQ                 ,Sustituir,0.50
19398/2020,M324579,FAROL/ES DELANTERO/S DER                 ,Sustituir,0.50
19398/2020,M324579,CIERRE DE ESPOLON                     ,Sustituir,0.25
19398/2020,M324579,BATERIA                     ,Sustituir,0.30
19398/2020,M324579,SOPORTE DE BATERIA bandeja de          ,Sustituir,0.25
19398/2020,M324579,CAJA FUSIBLES                     ,SYC,1.00
19398/2020,M324579,ALINEACION                     ,Sustituir,0.00
19398/2020,M324579,ALMA DE PARAGOLPE DELANTERA                     ,Sustituir,0.50
19398/2020,M324579,ENCAUSADOR AIRE IZQ                 ,Sustituir,0.20
19398/2020,M324579,ENCAUSADOR AIRE DER                 ,Sustituir,0.20
19398/2020,M324579,FRENTE SOLDADO bajadas x2          ,Reparar,4.00
19398/2020,M324579,ALOJ. FARO DEL . IZQ                 ,Reparar,2.00
19398/2020,M324579,ALOJ. FARO DEL . DER                 ,Reparar,2.00
19398/2020,M324579,PASARRUEDA  DELANTERO IZQ                 ,Reparar,4.00
19398/2020,M324579,PASARRUEDA  DELANTERO DER                 ,Reparar,2.00
19398/2020,M324579,SACAR/COLOCAR MOTOR                     ,SYC,8.00
19398/2020,M324579,ALTERNADOR c/polea             ,Sustituir,0.50
19398/2020,M324579,COMPRESOR DE A/C Reparaci¢n          ,Sustituir,0.80
19398/2020,M324579,CARGA DE GAS                     ,Sustituir,0.00
19398/2020,M324579,REFRIGERANTE                     ,Sustituir,0.00
19398/2020,M324579,BANDEJA INF. PARAGOLPE                     ,Sustituir,0.15
19398/2020,M324579,CAMINERO IZQ                 ,Sustituir,0.00
19398/2020,M324579,BROCHES kit parag.del       ,Sustituir,0.00
19398/2020,M324579,ABS                     ,SYC,1.00
19398/2020,M324579,SOPORTE DE ABS .                   ,Reparar,1.00
